supplier_id,supplier_name,material_category,region,risk_profile,contract_price,annual_capacity,moq,mpq,target_lead_time_days
SUP001,模拟供应商01,MCU控制芯片,华南,综合风险型,40.43,270000,1200,200,34
SUP002,模拟供应商02,MCU控制芯片,海外,稳定型,34.81,280000,600,100,28
SUP003,模拟供应商03,MCU控制芯片,华南,稳定型,32.91,600000,3000,500,29
SUP004,模拟供应商04,MCU控制芯片,西南,价格风险型,32.43,580000,400,200,43
SUP005,模拟供应商05,MCU控制芯片,海外,价格风险型,34.47,680000,2000,500,26
SUP006,模拟供应商06,MCU控制芯片,华东,质量风险型,32.85,450000,400,100,36
SUP007,模拟供应商07,功率半导体,海外,稳定型,25.7,350000,400,200,28
SUP008,模拟供应商08,功率半导体,华南,质量风险型,25.95,290000,600,100,38
SUP009,模拟供应商09,功率半导体,海外,价格风险型,23.47,610000,2000,500,23
SUP010,模拟供应商10,功率半导体,华东,稳定型,21.51,620000,600,100,39
SUP011,模拟供应商11,功率半导体,华北,交付风险型,25.67,600000,600,100,36
SUP012,模拟供应商12,功率半导体,华北,交付风险型,24.03,470000,600,100,16
SUP013,模拟供应商13,模拟芯片,西南,稳定型,19.27,300000,200,100,29
SUP014,模拟供应商14,模拟芯片,西南,稳定型,19.84,500000,2000,500,32
SUP015,模拟供应商15,模拟芯片,西南,交付风险型,17.11,500000,400,200,15
SUP016,模拟供应商16,模拟芯片,华北,稳定型,16.57,370000,800,200,45
SUP017,模拟供应商17,模拟芯片,海外,稳定型,15.65,350000,1000,500,23
SUP018,模拟供应商18,模拟芯片,华北,稳定型,19.23,300000,1000,500,30
SUP019,模拟供应商19,传感器芯片,华北,稳定型,27.56,540000,3000,500,40
SUP020,模拟供应商20,传感器芯片,华东,质量风险型,24.01,290000,200,100,38
SUP021,模拟供应商21,传感器芯片,海外,稳定型,25.29,450000,3000,500,30
SUP022,模拟供应商22,传感器芯片,华北,稳定型,30.23,470000,1000,500,20
SUP023,模拟供应商23,传感器芯片,西南,稳定型,29.62,380000,400,200,26
SUP024,模拟供应商24,传感器芯片,海外,综合风险型,24.89,400000,1000,500,26
SUP025,模拟供应商25,存储芯片,西南,稳定型,42.2,560000,2000,500,45
SUP026,模拟供应商26,存储芯片,华北,稳定型,48.9,600000,600,100,37
SUP027,模拟供应商27,存储芯片,华东,综合风险型,51.65,290000,200,100,29
SUP028,模拟供应商28,存储芯片,华北,稳定型,42.79,610000,1000,500,31
SUP029,模拟供应商29,存储芯片,华北,稳定型,49.51,630000,400,100,37
SUP030,模拟供应商30,存储芯片,华北,稳定型,47.57,310000,800,200,17
